content_id,subject,sentiment_value,sentiment_word
XuPwKCnA2fqNh5vm,价格,1,欧蓝德
2jNbDn85goX3IuPE,价格,0,优惠
hLgEADQ8sUnvGFK9,价格,0,优惠
nZmM7LQsfr03wUaz,价格,0,便宜
pwd8MnrthDqLZafe,价格,0,优惠
cudSKGTyMLbIt8k3,价格,0,时尚
U5RMQtopwFzDVxHm,价格,0,优惠
Kh0ayJjuTrzwPAs1,价格,0,优惠
YZovRtEAyQJgTi1I,价格,0,差不多
BeSIAUzoTWH9muYl,配置,0,性价比
SXYTBWg6FxuboMnd,配置,-1,好
RDgTmzW9xBfY6pGv,配置,0,垃圾
8cMwzsxkL4XtuDG1,配置,0,垃圾
MOUrvjDsIJpbw6dQ,配置,0,没有
t01PVoDSd9Lsy5HN,配置,0,黑屏
icMQmPJA9Sv0KGTw,舒适性,0,没关系
VQkjM1657sIroCf3,舒适性,0,肯定
1rGSYnOx9Fb2ULQX,配置,0,换
SgNFp8ixQX1HA64y,动力,0,提高
sO6Ac1mThYBKyl4M,油耗,0,真费油
qIUiOxGdb0M4PQky,油耗,0,正常
6GMYQa0Ag4o9nsZ2,油耗,0,左右
6Ewe2kxO5msAg0yU,动力,-1,不行
PMeBcRxizIaNmAC7,油耗,0,高
9x4gvon6TfN0KtqY,油耗,0,2000
Er3x8Ks6mpQqeZO0,油耗,0,省油
f5UhrHg6Zztl7VWj,舒适性,0,换
fYtbApDWqzGmKX8F,动力,0,不好
YUWFxTOoZCkNzKcu,舒适性,0,全
hNVSLDr06cMsgwfI,内饰,-1,廉价
aV6A5z8pJRkKIC9r,内饰,1,好看
E9SZbnzR2XW0QiLs,内饰,1,好
DXhAOZEsTBVWaSRH,动力,0,没
6p8glZ2iewsInqK4,安全性,0,厚
AWsymeHLSU1f38tT,安全性,0,安全
l94kJgMBpYoODyzQ,安全性,0,好
bVeAzdpgX7tFDlPI,安全性,1,好
lQ0N8fd4On7TzcsD,安全性,0,贵
jhmIcH6LTxkGVE19,安全性,0,换
68jBJULyWclT9Pir,安全性,-1,响
7prF9LJoixSgPQvM,安全性,0,刹车盘
Q4lp0HBNfTD2xYAv,操控,0,从技术上
M3Hqx1Un8ygzFTtl,操控,0,朋友
cIevXAM5FRp14Nni,操控,1,价位
8jCcfemUlPaQFx67,动力,0,好
ZqEa9wGAXNCDRoph,动力,0,是不是
SHbyJ2RM9oi4ZtdD,动力,0,烧
vNgGz3Kfj1qCe92E,动力,0,烧
9eqiWkfr8HNR0xPo,动力,0,烧
sAtwDdFoc06XgaW9,动力,-1,烧
23EJ8RwY9PcotslQ,动力,0,烧
oKdBRimU38Gjc9PJ,动力,0,没有
zsADXh4cYeUjEKSP,动力,0,烧
Q2LaKeht0Vvo1Rn6,动力,0,觉得
hszDKcUSek9dyP5o,动力,0,换油
Mb7fevclI1UmTzo3,动力,-1,烧
rgv1ykaC29JoQlcu,动力,0,才
EKI7PjFs81Lc52uS,动力,1,反正
5b2XhIBYPOCfMzcu,动力,0,担心
n2Fm18vbEDIa53ys,动力,0,CVT
Mq4oVg68SWFBz9i5,动力,0,超过
7hHUfbrVKp1aAFmN,动力,-1,没
qvD82LNTpMdsAXIe,动力,1,舒服
sKPpYiV2bXWEjTLc,空间,0,q3
KaM0rQpCE7yLYgH2,空间,0,异响
g1qaKmR09LUXcp8B,外观,0,喜欢
OKVCfRJ8X9BwxaTv,配置,-1,好用
tcPLeKdDrkYG1394,价格,0,没
